100197	193931
100197	Neural_Networks
193931	Neural_Networks
100197	447250
447250	Neural_Networks
100197	688361
688361	Neural_Networks
100701	1107041
100701	Case_Based
1107041	Case_Based
100935	1120643
100935	Genetic_Algorithms
1120643	Genetic_Algorithms
100935	1134865
1134865	Genetic_Algorithms
100961	60169
100961	Neural_Networks
60169	Neural_Networks
101143	101145
101143	Case_Based
101145	Case_Based
101143	596075
596075	Case_Based
101261	101263
101261	Theory
101263	Theory
101263	1112099
1112099	Theory
101263	1139928
1139928	Theory
101263	28456
28456	Theory
101660	1107095
101660	Rule_Learning
1107095	Rule_Learning
101662	1107095
101662	Theory
10169	1107067
10169	Theory
1107067	Case_Based
10169	1123867
1123867	Theory
10169	114189
114189	Probabilistic_Methods
10169	158614
158614	Theory
10169	17798
17798	Case_Based
10169	20850
20850	Theory
10169	211875
211875	Neural_Networks
10169	259126
259126	Neural_Networks
10169	3231
3231	Theory
10169	39126
39126	Probabilistic_Methods
10169	39131
39131	Case_Based
10169	49660
49660	Theory
10169	552469
552469	Theory
10169	6334
6334	Case_Based
10169	63477
63477	Case_Based
10169	63486
63486	Theory
10169	636098
636098	Theory
10169	711598
711598	Theory
10169	85452
85452	Theory
10174	10186
10174	Theory
10186	Theory
10177	10169
10177	Theory
10177	1112574
1112574	Theory
10177	12197
12197	Theory
10177	12198
12198	Theory
10177	12210
12210	Theory
10177	124734
124734	Theory
10177	15429
15429	Theory
10177	164
164	Theory
10177	249858
249858	Theory
10177	27606
27606	Theory
10177	4804
4804	Theory
10177	67415
67415	Theory
10177	68495
68495	Theory
10177	68505
68505	Theory
10177	9515
9515	Theory
101811	101662
101811	Theory
101811	1153064
1153064	Theory
101811	151430
151430	Rule_Learning
101811	6935
6935	Rule_Learning
10183	10186
10183	Case_Based
10183	10430
10430	Case_Based
10183	1108267
1108267	Case_Based
10183	1110947
1110947	Case_Based
10183	1114336
1114336	Case_Based
10183	1120713
1120713	Case_Based
10183	259772
259772	Case_Based
10183	47570
47570	Case_Based
10183	54550
54550	Case_Based
10183	6378
6378	Reinforcement_Learning
10186	86840
86840	Theory
102061	509315
102061	Genetic_Algorithms
509315	Genetic_Algorithms
1026	1034
1026	Genetic_Algorithms
1034	Genetic_Algorithms
1026	1102550
1102550	Genetic_Algorithms
1026	1105231
1105231	Genetic_Algorithms
1026	1129798
1129798	Genetic_Algorithms
1026	1153945
1153945	Genetic_Algorithms
102879	9513
102879	Theory
9513	Theory
102884	9513
102884	Theory
102938	143676
102938	Neural_Networks
